stable_id,native_type,has_book_event,native_components,qualification,native_reason,run_id
00afbe29e976df24db85cda2c4c67864,Waypoint,false,,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
01e09d81a12f4094695ff49340af35aa,Landmark,false,,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
047a81eda7998d44c85d71aacb58b916,HiddenLocation,false,,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
05a2671315f05b54dadd1178b1954baf,Location,false,,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
07b9f4001ac3eed4da444c36653c584f,SystemWaypoint,false,,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
0c8c664faf9ce7a4898c5294392ecafb,Location,true,,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
10a59de4c4c95204b9111c6d2c31aae3,HiddenLocation,true,,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
27cb8134be78ad24e9b88c33ebeeef50,Location,true,,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
2b42895e1ef216348a60a3a34d78c404,Location,false,Kingmaker.Globalmap.Blueprints.LocationRadiusBuff,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
36df6d64549c46a448a37d3147b84273,HiddenLocation,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
3bbbb60eddc14b6439d1eaa49fbc022b,HiddenLocation,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
48875ea76c9d90e4783bdd2a162848f8,HiddenLocation,true,,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
516d524e357fd024d96119a644d3e66b,HiddenLocation,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
52ab31e5d77524a439a366c3f2a26b65,HiddenLocation,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
6bbfcce58b628734c8096fd14ccb7718,HiddenLocation,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
758559f44d15fc844bf30a10a83154d5,Landmark,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
79c0635ead3d127408472eba12366732,Location,true,,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
7fa807b06338ed34ab854eb5d78405d5,HiddenLocation,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
920c29652c89d0c498d84610517464d0,Location,true,,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
93f43483b8802da47aadf4fb2e6527fa,HiddenLocation,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
982a2f903ab34d24f85f124f432a5450,HiddenLocation,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
9bc45ae766ab0ed42b363733439832bb,Location,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
a0d59e9e2e6f2b744864499e13969768,Location,true,,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
af0122780149c814bb180a392f08130b,Landmark,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
b0fc6512b337a0a439168538006235e7,HiddenLocation,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
