stable_id,native_type,internal_asset_name,observed_scene_support,has_area_entry,has_book_event,native_components
00afbe29e976df24db85cda2c4c67864,Waypoint,Location_CH04Crossing45,current-main-map-anchor,false,false,
01586808812b5444b96151c382251bd0,SystemWaypoint,Location_SystemWaypoint4,absent-current-main-map,false,false,
01c614529730fa24ebd26d88c4121c02,Waypoint,Location_Chapter02Crossing07,current-main-map-anchor,false,false,
01c91a112a9b2b545895f862c856025d,Waypoint,Location_CH05Crossing19,current-main-map-anchor,false,false,
01e09d81a12f4094695ff49340af35aa,Landmark,Location_BigNarlmarchesOutdoor,current-main-map-anchor,true,false,
021a1d3df5f1d6a4381885d1256e5fec,Landmark,Location_Varnhold_DLC2,absent-current-main-map,true,false,
0308672046dc2cb4ebc4949b9257d2e4,Waypoint,Location_VHCrossing07_Waypoint,current-main-map-anchor,false,false,
041f1f85c126a034e8b52887cfa9c4a6,Waypoint,Location_TOLCrossing07_Waypoint,current-main-map-anchor,false,false,
042a5171f682fa1448382b40d7907a4f,Waypoint,Location_VH_DLC2_Waypoint01,absent-current-main-map,false,false,
043c7c47bc903b04cbece9db157ad986,Waypoint,Location_CH06Crossing14,current-main-map-anchor,false,false,
046478622565d6a40b4fac971443bcc0,Waypoint,Location_CH04Crossing01_Waypoint,current-main-map-anchor,false,false,
047261f320542e64ba1947056e2caec3,Waypoint,Location_CH05Crossing44,current-main-map-anchor,false,false,
047a81eda7998d44c85d71aacb58b916,HiddenLocation,Location_HydraDen,current-main-map-anchor,true,false,
053ed6cf80a4a2841bf38f5a37f407d4,Waypoint,Location_CH05Crossing02,current-main-map-anchor,false,false,
05a2671315f05b54dadd1178b1954baf,Location,Location_ResourceValuableFruits01,current-main-map-anchor,false,false,
063d36b168b712f4ab99996df0db8ce4,Waypoint,Location_CapitalCrossing02,current-main-map-anchor,false,false,
06948d13e6548204daeaa02c10bc7a30,HiddenLocation,Location_DevourerLair,current-main-map-anchor,true,false,
06aedf2967ea74e439049e1e5053d703,Waypoint,Location_Chapter01Crossing54,current-main-map-anchor,false,false,
06dc1c6d7c2af8142a88745120b07451,HiddenLocation,Location_AstradaemonLair,current-main-map-anchor,true,false,
07991a62b60c6ae46bfc2dc6c223fda1,Waypoint,Location_ThornShrikeCrossing_Waypoint3,current-main-map-anchor,false,false,
07b9f4001ac3eed4da444c36653c584f,SystemWaypoint,Location_Puzzle03_Waypoint,current-main-map-anchor,false,false,
083314eed7fd3c4449c7f48e8bcd15c0,HiddenLocation,Location_GolemIronLair,current-main-map-anchor,true,false,
085d73221a65be944a62b5c2c6ef5314,Location,Location_LandmarkShrikeRiver,absent-current-main-map,false,false,
087f231f2d66a144ea2f89d3effc2e3f,HiddenLocation,Location_AxiomiteLair,current-main-map-anchor,true,false,
088d6a86c4c6fe94b9465fce988ac14f,Waypoint,Location_CH06Crossing18,current-main-map-anchor,false,false,
08dd049e546607b4fb89954d67503dac,Location,Location_SadisticMage,current-main-map-anchor,true,false,
090061442e2246744a0375b552dc94a3,Waypoint,Location_Chapter01Crossing20,current-main-map-anchor,false,false,
09324e8df0c7d254c80b1ead9f077798,Waypoint,Location_Chapter01Crossing09,current-main-map-anchor,false,false,
0953ca45047eefa478715a005a60773a,HiddenLocation,Location_ArmagsTomb,current-main-map-anchor,true,false,
0a1045e710f95c54185e34425070d71d,HiddenLocation,Location_StagLordsOldHouse,current-main-map-anchor,true,false,
0a18b82b1f88d4f489bd77e09e16e844,Location,Location_LandmarkSkunkRiver,absent-current-main-map,false,false,
0a3be14da85b5874187383ec7f995a8d,SystemWaypoint,Location_GolemStoneLair_Waypoint,current-main-map-anchor,false,false,
0a48990163d700e4091d8826be5cd4f5,Waypoint,Location_CH05Crossing22,current-main-map-anchor,false,false,
0a6a6d942896a7f468009df9fd7806fe,Waypoint,Location_Chapter02Crossing03,current-main-map-anchor,false,false,
0af6db5105747214cb9dddbc1e006683,Location,Location_ResourseIronMine01,current-main-map-anchor,false,false,
0afa89d00a2d0d24893776f13f269776,Waypoint,Location_Chapter01Crossing02,current-main-map-anchor,false,false,
0b5f01408f6b5964796c82a2df22c836,HiddenLocation,Location_TaldorTower,current-main-map-anchor,true,false,
0b83cbbc14d1a4f40a5600f0a599a092,Waypoint,Location_CH06Crossing17,current-main-map-anchor,false,false,
0ba455664ebd18f4fa0a7758a0f477e8,HiddenLocation,Location_GolemStoneLair,current-main-map-anchor,true,false,
0bc872964663f024fba6a0779e012f2b,Waypoint,Location_CH04Crossing17,current-main-map-anchor,false,false,
0c0246687609f8d49a1dcd6d6ebd7386,Waypoint,Location_Chapter02Crossing15,current-main-map-anchor,false,false,
0c8c664faf9ce7a4898c5294392ecafb,Location,Location_GMBEDead(Lost)Noble,current-main-map-anchor,false,true,
0cc44e4cc83263b4ea2ef3eb0e8893b1,Waypoint,Location_SSCrossing16_Waypoint,current-main-map-anchor,false,false,
0cde7ee18dc79ea4198ac991f8ec4051,Waypoint,Location_CH04Crossing13,current-main-map-anchor,false,false,
0d493727fc989d946a605d9358802409,Waypoint,Location_CH04Crossing61,current-main-map-anchor,false,false,
0dc12d34f754842429ae3cc3f4d2365d,Waypoint,Location_Chapter02Crossing08,current-main-map-anchor,false,false,
0dc604ecb44eae84b991ac688a182bad,Landmark,Location_LizardfolksVillage,current-main-map-anchor,true,false,
0e10799b039404047a1d7fb01d228bf1,SystemWaypoint,Location_TechnicLeagueHideout_Waypoint02,current-main-map-anchor,false,false,
0e58f4ee83ad87f4f8279e9d1e9004d7,Waypoint,Location_CH05Crossing30,current-main-map-anchor,false,false,
0ed67b4b887f95b4887f782a3f81209e,SystemWaypoint,Location_RestovRoad_Waypoint2,current-main-map-anchor,false,false,
0f5a7f4de5686fa4b9a3527e8ffb77cb,HiddenLocation,Location_NotRaddishPatch,current-main-map-anchor,true,false,
0fdb042ed0af1834f8627d0e2f6bcdff,HiddenLocation,Location_BarbarianCairn,current-main-map-anchor,true,false,
103ef497bee9ac648812adcd6b630e4c,SystemWaypoint,Location_SecludedLodge_Waypoint,absent-current-main-map,false,false,
108c77b8f29f28f42bcbe23e4cd37b8e,Landmark,Location_MapTextLandmark_Candlemere,absent-current-main-map,false,false,
108ce67511693964cbff4a1126deea4d,Location,Location_ResourceAncientRuins02,current-main-map-anchor,false,false,
10a59de4c4c95204b9111c6d2c31aae3,HiddenLocation,Location_GMBE_ForgottenCache,current-main-map-anchor,false,true,
10b09e53f0c735043825ec8239520bf5,Waypoint,Location_CH06Crossing23,current-main-map-anchor,false,false,
115b915dc5289444d80c0381d19125b1,Waypoint,Location_TOLCrossing06_Waypoint,current-main-map-anchor,false,false,
118b9be0453b34c4384754c2e85efa2d,SystemWaypoint,Location_StagLordsOldHouse_Waypoint,absent-current-main-map,false,false,
11a249fe0e841094f978e99e7985d628,Location,Location_ResourceCoalMine01,current-main-map-anchor,false,false,
11d18f35ca69c8045a5673462756d62d,SystemWaypoint,Location_HodagLair_Waypoint,current-main-map-anchor,false,false,
11d5cb5ac221ae44ab84d9298dc581e3,Location,Location_SecludedLodge,current-main-map-anchor,true,false,
126d7e7a821865f4e9b06a32a982fc33,SystemWaypoint,Location_GhostStone_Waypoint,current-main-map-anchor,false,false,
139dba0921e629045abd5d7785df072b,HiddenLocation,Location_TrollhoundLair,current-main-map-anchor,true,false,
13b11a51b675fea48bf436f2b29a4a9b,Waypoint,Location_CH06Crossing19,current-main-map-anchor,false,false,
14839fcce2a10f44ea56ebe56937401f,Waypoint,Location_DWCrossing06_Waypoint,current-main-map-anchor,false,false,
1521d5b6bf326514e89d0cf5e0431ee1,SystemWaypoint,Location_KingOfTheForest_SystemWaypoint,current-main-map-anchor,false,false,
15371ba2756d8504997491cda5897813,Waypoint,Location_VH_DLC2_Waypoint04,absent-current-main-map,false,false,
155b39a1d710e8b4b9b897802e07a0e3,SystemWaypoint,Location_MedusaLair_Waypoint,current-main-map-anchor,false,false,
1574ffd60c395f2439a854aa8a41681d,SystemWaypoint,Location_BrevoyBorderlandsOutdoor_Waypoint,current-main-map-anchor,false,false,
15b0d3769fb4b0541a0f7c6026df1d33,Waypoint,Location_CH05Crossing26,current-main-map-anchor,false,false,
1617acccefa060f43ae9f8f70e9d0041,Location,Location_LandmarkNarlmarches,absent-current-main-map,false,false,
16185355dd5c85047ac19deac50af71b,Location,Location_ResourceAncientRuins03,current-main-map-anchor,false,false,
16646354b750a314492c542c01685a78,Waypoint,Location_CH05Crossing20,current-main-map-anchor,false,false,
17ffcc5e63af9f0428af252be4b51ff2,SystemWaypoint,Location_Dweomercat_Waypoint,current-main-map-anchor,false,false,
182b57eed36f5a14883dac931e415653,SystemWaypoint,Location_WerewolfLair_Waypoint,current-main-map-anchor,false,false,
183002f0b260aa749b489d8f28341a6c,Waypoint,Location_CH05Crossing41,current-main-map-anchor,false,false,
191b36cc983d6d547ae3f3e68fd9650d,SystemWaypoint,Location_Artisan_Alchemist_Wererats_Waypoint,current-main-map-anchor,false,false,
191fadced2333f944859960ce383d738,HiddenLocation,Location_Puzzle04,current-main-map-anchor,true,false,
19432f0d6db2bd943bf62a5e3b06324c,Waypoint,Location_CH06Crossing06,current-main-map-anchor,false,false,
19829f28a6d52c5448bebc242197e8ca,Waypoint,Location_CH04Crossing20,current-main-map-anchor,false,false,
1a335314e55e7f3448efc12ac0679315,SystemWaypoint,Location_VH_DLC2_SystemWaypoint_Fake02,absent-current-main-map,false,false,
1a5d876fbc425a044b3a0dbfcd3ec4a2,Location,Location_ResourceDefence01,current-main-map-anchor,false,false,
1a9c178ccf7c6de498f32fba2d9ea877,SystemWaypoint,Location_ValleyOfTtheDead_Waypoint,current-main-map-anchor,false,false,
1b536993c4f756844937ae8d73fd40d3,Waypoint,Location_Chapter02Crossing06,current-main-map-anchor,false,false,
1b5a5953417312c4b86419ff623695b3,Waypoint,Location_CH04Crossing47,current-main-map-anchor,false,false,
1b7b5b835709674478a15a440d5d167f,Waypoint,Location_Chapter01Crossing09_2,current-main-map-anchor,false,false,
